SEXO,IDADE,ALTURA_CM
1,47,169.0
2,71,138.0
1,44,170.0
2,56,155.0
2,58,162.0
2,19,160.0
2,16,165.0
1,21,168.3
1,59,172.8
1,45,167.5
1,17,181.0
1,25,181.5
2,26,155.9
2,54,156.5
1,63,168.0
1,37,178.0
1,23,180.0
1,48,161.9
2,52,160.5
1,51,170.2
2,20,156.2
2,25,158.0
2,55,157.9
2,39,148.1
1,44,163.1
1,50,173.4
1,29,186.0
1,63,167.5
2,31,145.8
1,53,163.0
2,17,162.5
2,78,155.6
1,68,162.1
2,41,159.8
2,50,157.3
1,54,164.6
2,86,142.7
1,34,177.0
1,56,170.3
1,70,165.0
1,39,178.4
2,34,170.4
1,40,172.3
2,63,150.0
2,42,163.5
2,35,159.1
2,19,166.2
2,36,162.7
1,54,173.5
1,62,167.5
1,25,172.5
2,74,160.0
1,57,174.0
2,71,150.0
2,38,155.0
2,20,160.5
2,22,164.1
1,44,158.5
2,55,149.1
1,58,174.7
1,38,168.5
2,25,170.4
1,26,178.7
1,28,170.5
1,51,159.4
2,17,163.0
2,31,151.2
2,23,175.0
1,18,179.6
1,22,178.6
2,48,149.5
2,51,161.9
1,66,172.5
1,53,177.5
1,60,158.2
1,42,188.6
2,51,164.0
1,29,188.9
1,21,171.1
2,31,152.2
2,73,147.9
2,51,160.8
2,68,153.2
1,60,169.7
2,39,153.0
1,82,166.0
1,16,178.6
1,71,149.5
1,72,166.0
1,24,170.0
2,48,150.5
2,21,165.4
2,30,157.7
2,27,161.8
2,58,157.6
2,36,159.1
2,76,154.2
1,52,169.0
2,26,158.5
1,35,173.0
2,22,159.3
1,49,168.6
2,66,155.8
1,26,173.6
1,44,167.0
2,58,157.0
2,46,154.3
2,55,159.0
1,73,173.0
2,60,163.0
1,66,170.5
1,35,173.0
2,49,164.0
1,44,176.2
2,32,161.3
2,40,159.5
1,64,170.0
1,58,160.3
1,64,170.0
1,44,184.0
1,67,161.3
2,15,160.3
1,50,175.8
1,20,188.5
2,39,150.9
1,58,169.0
2,97,155.8
2,63,171.3
1,55,188.0
2,24,165.0
2,32,159.0
1,23,181.5
2,56,174.0
2,38,158.0
2,74,160.0
2,33,162.0
2,36,168.0
2,29,159.5
2,25,162.5
2,63,156.5
1,21,169.5
2,37,163.5
1,39,160.5
1,61,163.4
2,21,158.0
2,43,146.0
1,66,153.0
2,35,157.0
1,18,175.0
2,58,158.5
1,68,149.0
2,41,150.0
1,24,186.0
1,55,165.0
1,23,182.0
2,43,130.0
1,81,158.0
2,29,157.0
2,42,151.7
2,15,162.0
1,17,167.5
1,34,165.0
1,66,156.0
2,36,146.0
1,77,164.5
2,76,146.0
1,26,160.0
1,64,177.0
2,57,155.0
2,30,160.0
1,32,174.0
1,67,154.0
1,52,160.0
1,21,175.0
2,19,161.2
1,24,166.4
2,59,159.1
1,73,154.0
1,57,165.0
2,46,158.0
1,55,165.0
2,29,151.0
1,26,173.0
2,46,159.0
2,49,150.0
1,37,171.5
2,31,157.0
2,63,150.0
1,62,166.0
2,51,156.5
2,42,163.0
2,49,158.0
1,79,159.5
1,49,165.0
1,70,159.0
2,39,162.5
1,34,165.0
1,66,159.5
2,34,157.0
2,27,167.0
1,53,164.5
2,23,180.0
1,23,186.5
1,22,187.0
1,30,172.5
1,87,154.0
2,45,172.5
1,37,165.0
2,59,160.0
2,51,152.5
2,34,154.0
1,32,154.5
2,31,160.0
2,30,148.0
1,38,165.0
1,57,160.5
2,41,156.5
2,37,148.5
2,49,155.0
1,37,175.0
2,44,147.0
2,34,158.0
2,35,154.0
2,54,160.0
1,39,166.0
2,58,150.0
2,41,158.0
1,30,175.0
2,30,160.0
2,36,156.0
2,59,160.0
1,37,168.0
2,59,160.0
1,18,171.0
1,32,178.0
2,17,148.0
1,51,167.0
2,41,156.0
1,53,167.5
1,27,170.0
2,22,165.0
2,48,168.0
2,74,158.0
2,49,162.0
1,16,173.0
2,77,154.0
1,32,173.0
1,54,173.0
2,63,152.0
1,18,183.5
2,62,156.0
1,74,157.7
2,21,158.0
2,36,168.0
1,62,161.0
1,61,172.0
1,18,167.0
2,93,146.0
2,30,155.0
2,39,149.0
2,26,156.0
2,83,146.5
1,17,155.0
2,79,161.5
2,51,160.0
2,23,155.0
2,38,160.0
1,16,180.0
1,36,160.0
1,32,169.0
2,32,160.0
1,17,181.0
1,41,178.0
2,50,164.5
2,53,158.5
2,45,158.0
1,42,161.0
1,43,170.0
1,18,163.5
1,18,160.0
2,38,156.0
2,47,169.0
2,18,151.0
1,68,168.0
1,44,162.0
2,26,158.0
1,18,155.0
2,37,150.0
2,26,155.0
2,37,156.0
1,74,156.5
1,31,175.0
1,54,164.0
1,58,175.5
1,59,160.0
2,74,146.0
1,74,160.0
1,20,168.0
1,67,155.0
1,38,173.0
1,65,172.0
1,22,170.0
1,60,162.0
1,23,162.0
1,20,165.0
1,51,161.5
2,64,155.5
2,69,162.0
1,34,173.5
1,30,174.0
2,29,164.0
2,39,149.0
2,61,157.0
1,35,171.0
1,49,167.0
2,47,162.0
1,78,171.2
1,28,170.9
1,23,185.1
1,64,162.7
1,62,166.0
1,65,169.0
1,23,170.0
1,41,160.0
1,27,164.0
1,104,160.0
1,21,161.0
1,51,162.0
1,35,153.0
1,39,166.0
1,65,166.0
