Data/Hora (UTC);Mandante;Visitante;Odd Mandante;Odd Empate;Odd Visitante;% Favoritismo Mandante;% Favoritismo Visitante;Casa de Aposta
2026-06-11T19:00:00Z;Mexico;South Africa;1.49;4.33;7.7;67.11;12.99;Marathon Bet
2026-06-12T02:00:00Z;South Korea;Czech Republic;2.73;3.2;2.83;36.63;35.34;Marathon Bet
2026-06-12T19:00:00Z;Canada;Bosnia & Herzegovina;1.88;3.5;4.5;53.19;22.22;Unibet (NL)
2026-06-13T01:00:00Z;USA;Paraguay;2.03;3.6;3.82;49.26;26.18;Marathon Bet
2026-06-13T19:00:00Z;Qatar;Switzerland;11.0;5.5;1.3;9.09;76.92;Unibet (SE)
2026-06-13T22:00:00Z;Brazil;Morocco;1.63;3.94;6.1;61.35;16.39;Marathon Bet
2026-06-14T01:00:00Z;Haiti;Scotland;7.3;4.9;1.45;13.7;68.97;Marathon Bet
2026-06-14T04:00:00Z;Australia;Turkey;4.75;3.6;1.85;21.05;54.05;Coolbet
2026-06-14T17:00:00Z;Germany;Curaçao;1.05;17.25;56.0;95.24;1.79;Marathon Bet
2026-06-14T20:00:00Z;Netherlands;Japan;1.93;3.8;4.0;51.81;25.0;Marathon Bet
2026-06-14T23:00:00Z;Ivory Coast;Ecuador;3.85;2.81;2.3;25.97;43.48;Pinnacle
2026-06-15T02:00:00Z;Sweden;Tunisia;1.96;3.5;4.25;51.02;23.53;Marathon Bet
2026-06-15T16:00:00Z;Spain;Cape Verde;1.11;10.25;31.0;90.09;3.23;Marathon Bet
2026-06-15T19:00:00Z;Belgium;Egypt;1.69;4.05;5.2;59.17;19.23;Marathon Bet
2026-06-15T22:00:00Z;Saudi Arabia;Uruguay;7.2;4.33;1.51;13.89;66.23;Marathon Bet
2026-06-16T01:00:00Z;Iran;New Zealand;1.89;3.45;4.28;52.91;23.36;Pinnacle
2026-06-16T19:00:00Z;France;Senegal;1.48;4.5;7.5;67.57;13.33;Marathon Bet
2026-06-16T22:00:00Z;Iraq;Norway;14.0;6.25;1.25;7.14;80.0;Coolbet
2026-06-17T01:00:00Z;Argentina;Algeria;1.44;4.45;8.9;69.44;11.24;Marathon Bet
2026-06-17T04:00:00Z;Austria;Jordan;1.34;5.4;9.5;74.63;10.53;Unibet (NL)
2026-06-17T17:00:00Z;Portugal;DR Congo;1.28;6.0;11.0;78.12;9.09;Unibet (SE)
2026-06-17T20:00:00Z;England;Croatia;1.8;3.82;4.65;55.56;21.51;Marathon Bet
2026-06-17T23:00:00Z;Ghana;Panama;2.0;3.75;3.78;50.0;26.46;Marathon Bet
2026-06-18T02:00:00Z;Uzbekistan;Colombia;8.9;4.55;1.43;11.24;69.93;Marathon Bet
2026-06-18T16:00:00Z;Czech Republic;South Africa;2.1;3.1;4.0;47.62;25.0;LeoVegas (SE)
2026-06-18T19:00:00Z;Switzerland;Bosnia & Herzegovina;1.57;4.1;5.8;63.69;17.24;LeoVegas (SE)
2026-06-18T22:00:00Z;Canada;Qatar;1.37;4.2;6.75;72.99;14.81;Winamax (DE)
2026-06-19T01:00:00Z;Mexico;South Korea;1.85;3.4;4.6;54.05;21.74;LeoVegas (SE)
2026-06-19T19:00:00Z;USA;Australia;1.74;3.85;5.1;57.47;19.61;Betfair
2026-06-19T22:00:00Z;Scotland;Morocco;3.5;3.1;1.96;28.57;51.02;Winamax (DE)
2026-06-20T01:00:00Z;Brazil;Haiti;1.04;15.0;51.0;96.15;1.96;PMU (FR)
2026-06-20T03:00:00Z;Turkey;Paraguay;2.3;3.1;3.4;43.48;29.41;Unibet (NL)
2026-06-20T17:00:00Z;Netherlands;Sweden;1.72;3.8;4.75;58.14;21.05;PMU (FR)
2026-06-20T20:00:00Z;Germany;Ivory Coast;1.54;4.25;6.0;64.94;16.67;PMU (FR)
2026-06-21T00:00:00Z;Ecuador;Curaçao;1.22;5.3;9.0;81.97;11.11;Winamax (DE)
2026-06-21T04:00:00Z;Tunisia;Japan;4.75;3.35;1.85;21.05;54.05;PMU (FR)
2026-06-21T16:00:00Z;Spain;Saudi Arabia;1.11;10.2;28.0;90.09;3.57;1xBet
2026-06-21T19:00:00Z;Belgium;Iran;1.41;4.58;7.67;70.92;13.04;Pinnacle
2026-06-21T22:00:00Z;Uruguay;Cape Verde;1.44;4.5;7.0;69.44;14.29;PMU (FR)
2026-06-22T01:00:00Z;New Zealand;Egypt;5.0;3.6;1.75;20.0;57.14;PMU (FR)
2026-06-22T17:00:00Z;Argentina;Austria;1.65;3.75;5.5;60.61;18.18;PMU (FR)
2026-06-22T21:00:00Z;France;Iraq;1.13;8.0;26.0;88.5;3.85;PMU (FR)
2026-06-23T00:00:00Z;Norway;Senegal;2.16;3.54;3.52;46.3;28.41;1xBet
2026-06-23T03:00:00Z;Jordan;Algeria;5.55;3.94;1.68;18.02;59.52;1xBet
2026-06-23T17:00:00Z;Portugal;Uzbekistan;1.19;5.9;9.5;84.03;10.53;Winamax (DE)
2026-06-23T20:00:00Z;England;Ghana;1.26;5.0;7.75;79.37;12.9;Winamax (DE)
2026-06-23T23:00:00Z;Panama;Croatia;5.8;3.95;1.45;17.24;68.97;Winamax (DE)
2026-06-24T02:00:00Z;Colombia;DR Congo;1.55;4.0;6.5;64.52;15.38;Unibet (NL)
2026-06-24T19:00:00Z;Bosnia & Herzegovina;Qatar;1.72;3.5;4.75;58.14;21.05;Unibet (FR)
2026-06-24T19:00:00Z;Switzerland;Canada;2.0;3.2;3.7;50.0;27.03;Tipico
2026-06-24T22:00:00Z;Scotland;Brazil;8.0;5.0;1.36;12.5;73.53;PMU (FR)
2026-06-24T22:00:00Z;Morocco;Haiti;1.3;5.0;8.5;76.92;11.76;Tipico
2026-06-25T01:00:00Z;South Africa;South Korea;3.0;3.0;1.92;33.33;52.08;Winamax (FR)
2026-06-25T01:00:00Z;Czech Republic;Mexico;3.3;3.05;1.8;30.3;55.56;Winamax (FR)
2026-06-25T20:00:00Z;Curaçao;Ivory Coast;7.0;4.5;1.21;14.29;82.64;Winamax (FR)
2026-06-25T20:00:00Z;Ecuador;Germany;4.2;3.45;1.52;23.81;65.79;Winamax (FR)
2026-06-25T23:00:00Z;Japan;Sweden;1.94;3.15;3.15;51.55;31.75;Winamax (DE)
2026-06-25T23:00:00Z;Tunisia;Netherlands;4.7;3.6;1.43;21.28;69.93;Winamax (FR)
2026-06-26T02:00:00Z;Paraguay;Australia;2.0;3.05;3.1;50.0;32.26;Winamax (DE)
2026-06-26T02:00:00Z;Turkey;USA;2.4;3.1;2.25;41.67;44.44;Winamax (FR)
2026-06-26T19:00:00Z;Senegal;Iraq;1.53;4.31;6.49;65.36;15.41;GTbets
2026-06-26T19:00:00Z;Norway;France;4.9;3.66;1.78;20.41;56.18;GTbets
2026-06-27T00:00:00Z;Uruguay;Spain;5.3;3.8;1.57;18.87;63.69;Tipico
2026-06-27T00:00:00Z;Cape Verde;Saudi Arabia;2.65;3.2;2.55;37.74;39.22;Tipico
2026-06-27T03:00:00Z;New Zealand;Belgium;10.21;5.74;1.3;9.79;76.92;GTbets
2026-06-27T03:00:00Z;Egypt;Iran;2.38;3.08;3.33;42.02;30.03;GTbets
2026-06-27T21:00:00Z;Croatia;Ghana;1.65;3.6;4.9;60.61;20.41;Tipico
2026-06-27T21:00:00Z;Panama;England;13.0;5.7;1.2;7.69;83.33;Tipico
2026-06-27T23:30:00Z;Colombia;Portugal;3.4;3.25;2.14;29.41;46.73;LeoVegas (SE)
2026-06-27T23:30:00Z;DR Congo;Uzbekistan;2.3;3.05;2.6;43.48;38.46;Winamax (DE)
2026-06-28T02:00:00Z;Algeria;Austria;3.0;2.95;1.92;33.33;52.08;Winamax (FR)
2026-06-28T02:00:00Z;Jordan;Argentina;16.0;6.7;1.14;6.25;87.72;Tipico
