ano;curso;vagas;inscritos;pontos_minimo;pontos_maximo;candidatos_por_vaga;perc_acertos
1994;Musica;30;79;50;96;2.63;69.44
1994;Artes Cenicas−Bacharelado;15;365;33;55;24.33;45.83
1994;Artes Cenicas−Licenciatura;10;101;27;55;10.1;37.5
1994;Artes Plasticas;20;476;33;55;23.8;45.83
1994;Biblioteconomia−USP;30;290;26;53;9.67;36.11
1994;Biblioteconomia−Ufscar;40;63;13;45;1.58;18.06
1994;Cinema e Video;15;301;40;59;20.07;55.56
1994;Producao Editorial;15;378;36;60;25.2;50.0
1994;Jornalismo;45;2497;41;67;55.49;56.94
1994;Publicidade e Propaganda;40;3342;40;66;83.55;55.56
1994;Radio e Televisao;20;494;36;58;24.7;50.0
1994;Relacoes Publicas;20;590;33;55;29.5;45.83
1994;Turismo;20;948;35;58;47.4;48.61
1994;Ciencias Sociais;200;1140;29;62;5.7;40.28
1994;Ciencias Sociais−Ufscar;40;168;25;48;4.2;34.72
1994;Filosofia;160;912;28;60;5.7;38.89
1994;Geografia;160;871;26;61;5.44;36.11
1994;Historia;260;1494;28;58;5.75;38.89
1994;Letras;875;4961;26;63;5.67;36.11
1994;Administracao;400;8878;38;68;22.2;52.78
1994;Administracao−Ribeirao Preto;40;811;36;58;20.28;50.0
1994;Ciencias Contabeis;140;2087;31;59;14.91;43.06
1994;Ciencias Contabeis−Ribeirao Preto;40;435;28;57;10.88;38.89
1994;Economia;180;2037;37;70;11.32;51.39
1994;Economia−Ribeirao Preto;40;396;33;59;9.9;45.83
1994;Arquitetura FAU;150;3064;39;65;20.43;54.17
1994;Arquitetura−Sao Carlos;30;554;36;55;18.47;50.0
1994;Direito;450;15884;40;68;35.3;55.56
1994;Pedagogia;120;1913;26;60;15.94;36.11
1994;Pedagogia−Ufscar;50;167;21;41;3.34;29.17
1994;Ciencias Biologicas;180;1773;34;69;9.85;47.22
1994;Ciencias Biologicas−Epm;23;366;36;63;15.91;50.0
1994;Ciencias Biologicas−Ribeirao Preto;40;465;34;52;11.63;47.22
1994;Enfermagem;190;1689;25;57;8.89;34.72
1994;Enfermagem−Ribeirao Preto;80;633;26;49;7.91;36.11
1994;Farmacia−Bioquimica;135;2653;37;63;19.65;51.39
1994;Farmacia−Bioquimica−Ribeirao Preto;50;1022;37;62;20.44;51.39
1994;Medicina e Ciencias Medicas;485;14235;49;69;29.35;68.06
1994;Medicina Veterinaria;80;2619;39;67;32.74;54.17
1994;Zootecnia;30;367;32;58;12.23;44.44
1994;Odontologia;133;4514;39;64;33.94;54.17
1994;Odontologia−Ribeirao Preto;80;2065;39;61;25.81;54.17
1994;Odontologia−Bauru;50;839;39;60;16.78;54.17
1994;Fonoaudiologia;58;742;30;58;12.79;41.67
1994;Fonoaudiologia−Bauru;25;361;29;51;14.44;40.28
1994;Ortoptica;13;129;30;48;9.92;41.67
1994;Fisioterapia;65;2165;36;62;33.31;50.0
1994;Terapia Ocupacional;55;687;28;50;12.49;38.89
1994;Nutricao;40;1167;32;54;29.18;44.44
1994;Psicologia−USP−Capital;70;1749;34;62;24.99;47.22
1994;Psicologia;80;1622;31;61;20.28;43.06
1994;Educacao Fisica−USP;50;1344;29;58;26.88;40.28
1994;Esporte;50;541;28;54;10.82;38.89
1994;Educacao Fisica−Ufscar;40;333;24;52;8.33;33.33
1994;Engenharia Agronomica;240;1520;30;61;6.33;41.67
1994;Engenharia Florestal;40;202;27;53;5.05;37.5
1994;Engenharia e Ciencias Exatas;844;12058;43;70;14.29;59.72
1994;Engenharia Sao Carlos;120;1620;42;66;13.5;58.33
1994;Engenharia Civil−Sao Carlos;60;495;36;63;8.25;50.0
1994;Engenharia−Ufscar;230;1962;38;68;8.53;52.78
1994;Engenharia Civil−Sao Carlos−Ufscar;50;242;30;59;4.84;41.67
1994;Ciencias Exatas−Sao Carlos;40;154;25;52;3.85;34.72
1994;Matematica/Estatistica−Sao Carlos;130;328;22;60;2.52;30.56
1994;Computacao−Sao Carlos;100;2183;38;62;21.83;52.78
1994;Licenciatura em Matematica/Fisica;250;1330;26;55;5.32;36.11
1994;Fisica/Meteorologia;270;984;32;67;3.64;44.44
1994;Quimica;60;398;34;67;6.63;47.22
1994;Quimica−Ribeirao Preto;40;173;28;53;4.33;38.89
1994;Quimica−Sao Carlos;90;422;28;62;4.69;38.89
1994;Ciencias da Terra;70;381;29;62;5.44;40.28
1995;Musica;30;275;63;98;9.17;39.38
1995;Artes Cenicas−Bacharelado;15;381;70;127;25.4;43.75
1995;Artes Cenicas−Licenciatura;10;142;59;99;14.2;36.88
1995;Artes Plasticas;20;394;68;137;19.7;42.5
1995;Biblioteconomia;30;310;57;117;10.33;35.63
1995;Biblioteconomia − Ufscar;40;201;44;73;5.03;27.5
1995;Cinema e Video;15;358;82;124;23.87;51.25
1995;Producao Editorial;15;539;75;122;35.93;46.88
1995;Jornalismo;45;2583;80;132;57.4;50.0
1995;Publicidade e Propaganda;40;3400;79;136;85.0;49.38
1995;Radio e Televisao;20;518;71;126;25.9;44.38
1995;Relacoes Publicas;20;625;68;111;31.25;42.5
1995;Turismo;20;1024;70;110;51.2;43.75
1995;Ciencias Sociais;200;1354;62;123;6.77;38.75
1995;Ciencias Sociais − Ufscar;40;115;47;98;2.88;29.38
1995;Filosofia;160;615;60;126;3.84;37.5
1995;Geografia;160;695;57;106;4.34;35.63
1995;Historia;260;1527;61;124;5.87;38.13
1995;Letras;875;4652;57;126;5.32;35.63
1995;Administracao;400;8992;74;138;22.48;46.25
1995;Administracao − Ribeirao Preto;40;579;69;113;14.48;43.13
1995;Ciencias Contabeis;140;1968;64;125;14.06;40.0
1995;Ciencias Contabeis − Rib Preto;40;290;56;104;7.25;35.0
1995;Economia;180;1922;73;134;10.68;45.63
1995;Economia − Ribeirao Preto;40;317;67;117;7.93;41.88
1995;Arquitetura − FAU;150;3178;78;138;21.19;48.75
1995;Arquitetura − Sao Carlos;30;641;72;115;21.37;45.0
1995;Direito;450;16251;76;139;36.11;47.5
1995;Pedagogia;120;1661;53;131;13.84;33.13
1995;Pedagogia − Ufscar;50;162;45;77;3.24;28.13
1995;Ciencias Biologicas;180;2107;69;120;11.71;43.13
1995;Ciencias Biologicas−Epm;23;485;74;116;21.09;46.25
1995;Ciencias Biologicas−Rib Preto;40;277;68;104;6.93;42.5
1995;Enfermagem;190;1863;53;106;9.81;33.13
1995;Enfermagem − Ribeirao Preto;80;330;47;101;4.13;29.38
1995;Farmacia Bioquimica;135;2399;72;131;17.77;45.0
1995;Farm Bioquimica − Rib Preto;50;1065;73;113;21.3;45.63
1995;Medicina e Ciencias Medicas;485;14376;91;145;29.64;56.88
1995;Medicina Veterinaria;80;2706;75;122;33.83;46.88
1995;Zootecnia−Pirassunuga;30;388;63;112;12.93;39.38
1995;Odontologia−Sao Paulo;133;4196;74;127;31.55;46.25
1995;Odontologia − Ribeirao Preto;80;1702;74;116;21.28;46.25
1995;Odontologia − Bauru;50;1530;76;119;30.6;47.5
1995;Fonoaudiologia−Sao Paulo;58;823;61;107;14.19;38.13
1995;Fonoaudiologia − Bauru;25;280;61;104;11.2;38.13
1995;Ortoptica;13;160;56;76;12.31;35.0
1995;Fisioterapia;25;870;72;124;34.8;45.0
1995;Fisioterapia−Ufscar;40;1005;68;110;25.13;42.5
1995;Terapia Ocupacional;55;654;58;105;11.89;36.25
1995;Nutricao;40;1184;65;118;29.6;40.63
1995;Psicologia − USP − Capital;70;1743;69;118;24.9;43.13
1995;Psicologia;80;1326;62;112;16.58;38.75
1995;Educacao Fisica − USP;50;1311;57;105;26.22;35.63
1995;Esporte;50;747;61;119;14.94;38.13
1995;Educacao Fisica − Ufscar;40;370;48;87;9.25;30.0
1995;Engenharia Agronomica;240;1590;61;114;6.63;38.13
1995;Engenharia Florestal;40;164;54;122;4.1;33.75
1995;Engenharia e Ciencias Exatas;844;11050;82;142;13.09;51.25
1995;Engenharia − Sao Carlos;120;1364;78;130;11.37;48.75
1995;Engenharia Civil−Sao Carlos−USP;60;338;71;128;5.63;44.38
1995;Engenharia−Ufscar−Sao Carlos;230;1923;73;131;8.36;45.63
1995;Engenharia Civil−Ufscar−Sao Carlos;50;722;67;110;14.44;41.88
1995;Ciencias Exatas−Sao Carlos;40;90;41;89;2.25;25.63
1995;Matematica/Estatistica−Sao Carlos;130;288;40;124;2.22;25.0
1995;Computacao−Sao Carlos;100;2003;73;128;20.03;45.63
1995;Licenciatura em Matematica/Fisica;250;1107;55;117;4.43;34.38
1995;Fisica/Meteorologia−Sao Paulo;180;807;67;124;4.48;41.88
1995;Fisica−Sao Carlos;90;152;44;128;1.69;27.5
1995;Quimica−Sao Paulo;60;455;69;131;7.58;43.13
1995;Quimica−Ribeirao Preto;50;196;58;124;3.92;36.25
1995;Quimica−Sao Carlos;90;247;51;104;2.74;31.88
1995;Ciencias da Terra;70;262;59;115;3.74;36.88
1996;Musica;30;219;60;117;7.3;37.5
1996;Artes Cenicas Bacharelado;15;362;68;98;24.13;42.5
1996;Artes Cenicas − Licenciatura;10;119;61;98;11.9;38.13
1996;Artes Plasticas;20;352;67;105;17.6;41.88
1996;Biblioteconomia;30;142;54;93;4.73;33.75
1996;Biblioteconomia − Ufscar;40;77;28;77;1.93;17.5
1996;Cinema e Video;15;337;82;112;22.47;51.25
1996;Imagem e Som − Ufscar;40;239;56;114;5.98;35.0
