SG_UF;CD_MUNICIPIO;NM_MUNICIPIO;conc;hab
SP;65633;ITAQUAQUECETUBA;SP_ITAQUAQUECETUBA;382983
MG;50911;RIBEIRÃO DAS NEVES;MG_RIBEIRÃO DAS NEVES;346971
SP;65510;ITAPEVI;SP_ITAPEVI;242995
MG;53716;TEÓFILO OTONI;MG_TEÓFILO OTONI;142851
ES;56979;SÃO MATEUS;ES_SÃO MATEUS;134423
MG;41114;BARBACENA;MG_BARBACENA;129695
MG;53970;UBÁ;MG_UBÁ;107423
MG;46833;ITUIUTABA;MG_ITUIUTABA;106775
MG;44814;ESMERALDAS;MG_ESMERALDAS;93103
MG;44172;CURVELO;MG_CURVELO;84297
MG;45730;GUAXUPÉ;MG_GUAXUPÉ;52744
MG;48615;MONTE CARMELO;MG_MONTE CARMELO;49500
MG;54410;VISCONDE DO RIO BRANCO;MG_VISCONDE DO RIO BRANCO;40711
PR;78212;RIO BRANCO DO SUL;PR_RIO BRANCO DO SUL;40308
MG;54151;VÁRZEA DA PALMA;MG_VÁRZEA DA PALMA;34555
MG;50393;POMPÉU;MG_POMPÉU;32441
MG;42650;CARANGOLA;MG_CARANGOLA;32134
MG;43451;CONCEIÇÃO DAS ALAGOAS;MG_CONCEIÇÃO DAS ALAGOAS;30278
MG;50555;PRATA;MG_PRATA;29745
MG;41173;BARROSO;MG_BARROSO;20604
SP;63215;CASTILHO;SP_CASTILHO;20485
MG;54194;VAZANTE;MG_VAZANTE;20459
RJ;58238;CARMO;RJ_CARMO;17741
SP;61166;ROSANA;SP_ROSANA;17434
MT;98736;NOVA OLÍMPIA;MT_NOVA OLÍMPIA;16204
MG;45390;FRONTEIRA;MG_FRONTEIRA;14946
MG;40916;ASTOLFO DUTRA;MG_ASTOLFO DUTRA;14633
MG;44733;ENGENHEIRO CALDAS;MG_ENGENHEIRO CALDAS;14501
MG;46094;ILICÍNEA;MG_ILICÍNEA;13248
MG;50253;PIRAÚBA;MG_PIRAÚBA;12006
PR;75574;FLORESTÓPOLIS;PR_FLORESTÓPOLIS;11653
MG;50318;PLANURA;MG_PLANURA;11533
MG;44970;EUGENÓPOLIS;MG_EUGENÓPOLIS;11096
MG;52914;SÃO SEBASTIÃO DO OESTE;MG_SÃO SEBASTIÃO DO OESTE;9527
MG;40592;ANTÔNIO DIAS;MG_ANTÔNIO DIAS;9375
MG;51250;RODEIRO;MG_RODEIRO;9168
MG;41270;BELO VALE;MG_BELO VALE;9012
PR;78956;SÃO SEBASTIÃO DA AMOREIRA;PR_SÃO SEBASTIÃO DA AMOREIRA;8063
MG;43770;CORDISBURGO;MG_CORDISBURGO;7535
MG;52515;SÃO JOÃO DO ORIENTE;MG_SÃO JOÃO DO ORIENTE;7099
MG;40355;ALPERCATA;MG_ALPERCATA;7019
MG;41491;BOM JARDIM DE MINAS;MG_BOM JARDIM DE MINAS;6988
PR;78999;SAPOPEMA;PR_SAPOPEMA;6778
SP;71790;TARABAI;SP_TARABAI;6633
MG;45454;GALILÉIA;MG_GALILÉIA;6244
MG;49638;PATROCÍNIO DO MURIAÉ;MG_PATROCÍNIO DO MURIAÉ;5754
MG;51055;RIO MANSO;MG_RIO MANSO;5746
MG;40746;SÃO JOÃO DO MANTENINHA;MG_SÃO JOÃO DO MANTENINHA;5479
MG;40185;ENTRE FOLHAS;MG_ENTRE FOLHAS;5295
MG;53538;SOBRÁLIA;MG_SOBRÁLIA;5140
GO;92282;ITAGUARI;GO_ITAGUARI;5120
MG;48330;MESQUITA;MG_MESQUITA;4984
GO;94072;ITAGUARU;GO_ITAGUARU;4837
MG;44075;CRISTIANO OTONI;MG_CRISTIANO OTONI;4719
MG;40150;AGUANIL;MG_AGUANIL;4509
PR;77879;PRESIDENTE CASTELO BRANCO;PR_PRESIDENTE CASTELO BRANCO;4304
MG;47210;JOANÉSIA;MG_JOANÉSIA;4246
MG;51756;SANTANA DO JACARÉ;MG_SANTANA DO JACARÉ;4246
TO;73300;CARIRI DO TOCANTINS;TO_CARIRI DO TOCANTINS;4166
PR;84719;SÃO JOSÉ DAS PALMEIRAS;PR_SÃO JOSÉ DAS PALMEIRAS;4031
GO;93041;PROFESSOR JAMIL;GO_PROFESSOR JAMIL;3750
TO;73407;LAJEADO;TO_LAJEADO;3559
SP;61301;SUZANÁPOLIS;SP_SUZANÁPOLIS;3465
PE;30015;FERNANDO DE NORONHA;PE_FERNANDO DE NORONHA;3341
MG;48070;MARMELÓPOLIS;MG_MARMELÓPOLIS;3314
SP;68691;PIQUEROBI;SP_PIQUEROBI;3287
PR;77291;OURIZONA;PR_OURIZONA;3193
GO;96237;TRÊS RANCHOS;GO_TRÊS RANCHOS;2976
TO;92606;SANTA TEREZA DO TOCANTINS;TO_SANTA TEREZA DO TOCANTINS;2907
MG;43915;CORONEL PACHECO;MG_CORONEL PACHECO;2789
PR;79391;UNIFLOR;PR_UNIFLOR;2106
MG;50750;QUELUZITO;MG_QUELUZITO;1796
MT;90239;ARAGUAINHA;MT_ARAGUAINHA;997
